id,date,city,province,target_name,target_type,incident_type,description,severity,arrests,charges,court_jurisdiction,police_agency,police_file_number,damage_estimate_cad,source,notes
74,2024-08-22,National,Multiple,Canada-wide Jewish institutions bomb-threat wave (day 2),Jewish institution,continued bomb-threat wave,"The RCMP said a second day of bomb threats on Aug. 22 targeted synagogues, museums, malls, ports and art galleries across Canada.",watch,False,,,,,,https://toronto.citynews.ca/2024/08/22/rcmp-responding-to-more-bomb-threats-at-institutions-across-canada/,
75,2024-09-04,Ormstown,QC,Jewish citizens in the United States / Brooklyn Jewish center (Khan case),Jewish individuals,ISIS-linked mass-shooting plot,"RCMP arrested Muhammad Shahzeb Khan in Ormstown, Quebec, alleging he was planning a deadly attack targeting Jewish citizens in the United States. U.S. reporting later described the target as a Jewish center in Brooklyn around the Oct. 7 anniversary.",elevated,True,Attempting to leave Canada to commit an offence for a terrorist group; participating in the activities of a terrorist group; conspiracy to violate United States immigration law by entering or attempting to enter unlawfully,Superior Court of Justice in Montreal; later extradition proceedings,Royal Canadian Mounted Police (RCMP),,,https://www.grc.gc.ca/en/news/2024/male-wanted-the-arrested-ormstown ; https://www.reuters.com/world/pakistani-man-charged-over-alleged-new-york-city-plot-linked-islamic-state-2024-09-06/,Arrest occurred in Canada but the alleged target was in the United States; included because the arrest occurred in Canada and the target was Jewish.
76,2024-09-15,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,repeated vandalism / sign fires,Approximate month-only row capturing one of the repeated Beth Tikvah Toronto incidents described in later police reporting.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
77,2024-09-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
78,2024-09-15,Winnipeg,MB,Unnamed Ashkenazi synagogue (North End Winnipeg),Jewish institution,swastika graffiti on synagogue wall,Part of a broader Winnipeg antisemitic graffiti spree that included around 100 tags between September and December 2024.,elevated,True,"Initial Winnipeg Police case: 26 counts of mischief under $5,000. Later RCMP national-security case: facilitating terrorist activity; participation in activity of a terrorist group; commission of an offence for a terrorist group (two counts)",Winnipeg Provincial Court / Winnipeg Remand Centre context,,,,https://thecjn.ca/news/maniac-murder-cult/,
79,2024-09-25,Montreal,QC,Concordia walkout with antisemitic graffiti and security assault,campus / Jewish community impact,antisemitic graffiti and assault on security during walkout,"Concordia reported that on Sept. 25, 2024, protesters blocked traffic, one security agent was assaulted while stopping vandalism in a tunnel, and antisemitic graffiti occurred during the walkout. SPVM arrested three protesters for criminal acts.",elevated,True,Criminal-act arrests reported; exact charges not specified in campus summary,,SPVM / Concordia Campus Safety and Prevention Services,,,https://www.concordia.ca/cunews/main/incidents/2024/student-walkout-demonstration.html,University described the criminal acts and antisemitic graffiti as unacceptable.
80,2024-10-02,Montreal,QC,Montreal synagogues (pre-Rosh Hashanah plot row),Jewish institution,incendiary-device arrests,Jewish leaders cited arrests of several people allegedly in possession of an incendiary device in front of synagogues a few hours before Rosh Hashanah.,watch,False,,,,,,https://thecjn.ca/news/montreal-hate-crimes/,
81,2024-10-07,Vancouver,BC,Vancouver Art Gallery Oct 7 rally terror group chants,,chants supporting Hamas and Hezbollah,Speaker said 'we are Hezbollah and we are Hamas' at rally marking Oct 7 anniversary.,low,,,,,,,https://globalnews.ca/news/10800899/political-party-leaders-condemn-hateful-rhetoric-at-b-c-protest/,
82,2024-10-12,Toronto,ON,Bais Chaya Mushka Elementary School,Jewish institution,"second shooting, on Yom Kippur",The school was targeted again by gunfire on Yom Kippur.,critical,True,"Helder Antonio De Ameida: 11 firearms offences. Youth: firearms offences, possession of property obtained by crime, failing to comply with release orders",Toronto / Ontario (exact court location not specified in source used),Toronto Police Service,,,https://thecjn.ca/news/bais-chaya-mushka-2/,
83,2024-10-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
84,2024-10-15,Winnipeg,MB,Westdale Community Centre,Unknown,M.K.Y. graffiti,Police later tied M.K.Y. antisemitic graffiti at Westdale Community Centre to a terrorism-related case.,elevated,True,"Initial Winnipeg Police case: 26 counts of mischief under $5,000. Later RCMP national-security case: facilitating terrorist activity; participation in activity of a terrorist group; commission of an offence for a terrorist group (two counts)",Winnipeg Provincial Court / Winnipeg Remand Centre context,,,,https://thecjn.ca/news/maniac-murder-cult/,
85,2024-10-27,Uxbridge,ON,St. Joseph Catholic School anti-Jewish graffiti,public school / anti-Jewish messaging,anti-Jewish graffiti on school grounds,"Anti-Semitic graffiti was discovered at St. Joseph Catholic School in Uxbridge. The site itself was not Jewish, but the messaging explicitly targeted Jews and was investigated by police.",low,False,,,,,,https://toronto.citynews.ca/2024/10/31/anti-semitic-graffiti-uxbridge-school/,"Not a Jewish institution, but a direct anti-Jewish hate incident."
86,2024-10-31,Calgary,AB,University of Calgary lecture with Jewish students,campus,students trapped by protest crowd,Jewish students reportedly had to leave a lecture through a back door after protesters blocked normal egress.,watch,False,,,,,,https://thecjn.ca/news/,Exact CJN article URL not captured; base URL used.
87,2024-11-05,Montreal,QC,Shaar Hashomayim Synagogue area,Jewish institution,masked protest violating buffer zone,Masked protesters gathered outside Montreal Shaar Hashomayim in defiance of the city protest buffer rules.,watch,False,,,,,,https://thecjn.ca/news/montreal-hate-crimes/,
88,2024-11-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
89,2024-11-21,Montreal,QC,Concordia Henry F. Hall forced-entry protest with antisemitic hate-related speech,campus / Jewish community impact,"forced entry, graffiti, damage, antisemitic hate-related speech and gestures","Concordia said protesters pushed campus agents to force entry into the Hall building, left graffiti, damaged doors, and the university received reports of criminal acts including antisemitic hate-related speech and gestures.",watch,False,,,SPVM / Concordia Campus Safety and Prevention Services,,,https://www.concordia.ca/cunews/main/incidents/2024/november-21-incident.html,University said it was assessing criminal acts and code violations.
90,2024-12-02,Toronto,ON,Bayview and York Mills synagogue sign vandalism,synagogue,front-lawn synagogue sign vandalized,Toronto Police said a suspect attended a synagogue in the Bayview Avenue and York Mills Road area and vandalized signs on the front lawn before fleeing in a pickup truck.,elevated,False,,,Toronto Police Service,2025-1030357,,https://www.tps.ca/media-centre/news-releases/suspected-hate-motivated-mischief-investigation-17/,"TPS later connected this incident to Dec. 20, 2024 and May 18, 2025 mischiefs."
91,2024-12-10,Toronto,ON,Cafe Landwer,Unknown,window shattered,A window was shattered at the North York branch of the Israeli-founded cafe.,critical,True,29-count TPS case including advocating genocide; wilful promotion of hatred; public incitement of hatred; five arson counts; mischief / mischief to cultural property; uttering threats; criminal harassment; firearms / prohibited weapons offences; and fraud / stolen-property related counts,"Ontario Court of Justice, 10 Armoury Street, Toronto (bail hearing March 17, 2025); subsequent Superior Court bail review reported",,,,https://thecjn.ca/news/allegedly-motivated-by-hatred/,
92,2024-12-11,Rivière-du-Loup,QC,Online hate speech targeting Jewish communities (Rivière-du-Loup case),,online hate propaganda,RCMP arrested suspect after hundreds of antisemitic messages online.,low,True,,,,,,https://rcmp.ca/en/news/2024/12/hate-speech-social-networks-individual-charged,
93,2024-12-15,Toronto,ON,Kehillat Shaarei Torah,Western civilian target,repeated broken windows / damage,Approximate month-only row capturing one of the repeated vandalism incidents at KST documented as part of an eight-incident sequence in 2024.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,Approximate month-only row; exact day not public in snippet.
94,2024-12-18,Montreal,QC,Congregation Beth Tikvah,Jewish institution,second firebombing / incendiary device,"The Dollard-des-Ormeaux synagogue was again targeted by an incendiary device, the second such attack since Oct. 7.",elevated,True,Two arson-related charges; two counts of attempted arson; one count of destruction of property; one count of possession of incendiary material,Quebec Court / Montreal courthouse,,,,https://apnews.com/article/49a8dace464e0b83def53ed21725bbe0,
95,2024-12-18,Montreal,QC,Federation CJA - West Island office,community organization,windows smashed during linked attack,Windows at the nearby Federation office were smashed during the same overnight attack as Beth Tikvah.,elevated,True,Two arson-related charges; two counts of attempted arson; one count of destruction of property; one count of possession of incendiary material,Quebec Court / Montreal courthouse,,,,https://apnews.com/article/49a8dace464e0b83def53ed21725bbe0,
96,2024-12-18,Saskatoon,SK,Online antisemitic comments case with firearm seizure (Saskatoon),Jewish community (general),public incitement of hatred and later wilful promotion of anti-Semitism,"Saskatoon Police said an investigation into anti-Semitic comments online led to the arrest of a 45-year-old man, a firearm seizure, and charges including public incitement of hatred. In January 2026, additional charges of wilful promotion of hatred and wilful promotion of anti-Semitism were authorized.",elevated,True,Public incitement of hatred; wilful promotion of hatred; wilful promotion of anti-Semitism; unsafe storage of a firearm,"Provincial Court, Saskatoon (Court Info # 991325016)",Saskatoon Police Service,24-69356,,https://saskatoonpolice.ca/news/202618,"SPS release says the original charge was laid Dec. 18, 2025, based on a 2024 complaint, with later anti-Semitism-specific charges approved in Jan. 2026."
97,2024-12-20,Toronto,ON,Bais Chaya Mushka Elementary School,Jewish institution,third shooting,Gunfire struck the school for the third time in seven months.,elevated,False,,,,,,https://thecjn.ca/news/shots-fired-at-bais-chaya-mushka-girls-school-for-the-third-time-this-year/,
98,2024-12-20,Toronto,ON,Bayview and York Mills synagogue sign vandalism,synagogue,repeat vandalism of synagogue sign,"Toronto Police reported a repeat mischief at the same synagogue in the Bayview Avenue and York Mills Road area on Dec. 20, 2024, involving vandalism to signs on the front lawn.",elevated,False,,,Toronto Police Service,2025-1030357,,https://www.tps.ca/media-centre/news-releases/suspected-hate-motivated-mischief-investigation-17/,Linked by TPS to the same pickup truck / suspect pattern.
99,2025-01-02,Toronto,ON,Flyers promoting hatred against Jewish community (Bloor and Lansdowne area),Jewish community (general),dissemination of flyers promoting hatred against Jewish community,"Toronto Police said flyers promoting hatred against members of the Jewish community were distributed in the Bloor Street West and Lansdowne Avenue area. After obtaining Attorney General consent, police charged Oliver Couto with wilful promotion of hatred.",watch,True,Wilful Promotion of Hatred,"Ontario Court of Justice, 10 Armoury Street, Toronto",Toronto Police Service,2025-13185,,https://www.tps.ca/media-centre/news-releases/man-charged-in-wilful-promotion-of-hatred-investig/,"Police received the hate-crime call on Jan. 2, 2025; charge announced Dec. 16, 2025."
100,2025-01-10,Markham,ON,La Briut office (Markham),business,break-in with antisemitic graffiti,"Two suspects allegedly broke into La Briut's Markham office, caused significant damage, and left antisemitic graffiti including anti-Jewish and anti-Israel slogans.",watch,False,,,York Regional Police,,,https://www.cp24.com/news/2025/01/14/2-suspects-wanted-after-markham-business-vandalized-and-tagged-with-antisemitic-graffiti-during-robbery-police/ ; https://www.fswc.ca/news/jewish-owned-business-targeted-with-antisemitic-vandalism-and-break-in-in-toronto-and-nearby-markham ; https://www.jewishtoronto.com/news-media/jsn-security-update-hate-crime-targeting-kosher-business,York Regional Police reportedly treated the matter as a hate-motivated incident.
101,2025-01-12,Toronto,ON,La Briut restaurant (North York),business,restaurant break-in and property theft,"A second incident targeted La Briut, this time at its restaurant in North York, where the front door was shattered and property stolen in an overnight break-in.",watch,False,,,Toronto Police Service,,,https://www.fswc.ca/news/jewish-owned-business-targeted-with-antisemitic-vandalism-and-break-in-in-toronto-and-nearby-markham ; https://www.jewishtoronto.com/news-media/jsn-security-update-hate-crime-targeting-kosher-business,"The exact overnight timing was reported generically as 'last night' in Jan. 13 coverage; row dated conservatively to Jan. 12, 2025."
102,2025-01-15,Toronto,ON,Healthy Moms Market,business,anti-Israel stickers on storefront,"Healthy Moms Market, a Jewish-owned business in Toronto's Junction area, was plastered with anti-Israel stickers in mid-January. Toronto police later said both the January and March incidents were active hate-crime investigations.",elevated,False,,,Toronto Police Service,,,https://thecjn.ca/news/healthy-moms-market/,The first incident was described as occurring in mid-January; exact day not specified in the source used.
103,2025-02-16,Montreal,QC,Temple Emanu-El-Beth Sholom,synagogue,swastika painted on building,A two-foot-wide swastika was spray-painted on the side of Temple Emanu-El Beth Sholom on Shabbat.,watch,False,,,,,,https://thecjn.ca/news/rabbi-lisa-grushcow/,
104,2025-03-22,Waterloo / Guelph,ON,Hillel Ontario,campus organization,more than 100 violent messages,Hillel Ontario received more than 100 violent threats targeting Jewish students through its online form in a single day.,watch,True,Uttering threats to cause death or bodily harm,Waterloo Region / Ontario youth court (exact courthouse not specified in source used),,,,https://thecjn.ca/news/hillel-ontario-threats/,
105,2025-03-31,Toronto,ON,Healthy Moms Market,business,repeat sticker vandalism on storefront,"The Jewish-owned Healthy Moms Market was plastered again with anti-Israel stickers on March 31, 2025. Toronto police's hate crimes unit was reported to be investigating.",elevated,False,,,Toronto Police Service,,,https://thecjn.ca/news/healthy-moms-market/,Second stickering incident in roughly two months.
106,2025-04-10,Montreal,QC,Azrieli Institute of Israel Studies vandalism (Concordia),campus institute,"spraypaint, broken window, targeted institute offices","Five masked individuals entered the ER Building and spray-painted the doors of the Azrieli Institute of Israel Studies, spray-painted a security camera, and broke a window. Concordia and the president described the act as antisemitic vandalism; SPVM's hate crime unit investigated.",watch,False,,,SPVM / Concordia Campus Safety and Prevention Services,,,https://www.concordia.ca/cunews/main/incidents/2025/april-10-vandalism-at-er-building.html ; https://www.concordia.ca/cunews/main/stories/2025/04/11/condemning-antisemitic-vandalism-targeting-concordia.html,Concordia president said social-media posts the next morning celebrated the incident and targeted a faculty member.
107,2025-04-25,Toronto,ON,Ontario man under terrorism peace bond for attempt to join terrorist group,Western civilian target,peace bond proceeding tied to alleged attempt to leave Canada to join terrorist group,RCMP Central Region said a 32-year-old Ontario man was arrested and brought before the Ontario Court of Justice in Brampton after authorities obtained consent to start terrorism peace-bond proceedings. RCMP said he was allegedly attempting to leave Canada to join a terrorist group.,elevated,True,Terrorism peace bond proceedings under section 810.011; alleged attempted departure from Canada to join a terrorist group,"Ontario Court of Justice, Brampton",Royal Canadian Mounted Police (RCMP),,,https://www.rcmp-grc.gc.ca/en/news/2025/man-arrested-terrorism-peace-bond-provisions,RCMP did not publicly identify the suspect because a section 517 publication ban was in place and did not name the terrorist group.
108,2025-05-11,Toronto,ON,Walk With Israel sign vandalism,community event,event sign defaced,A Walk With Israel sign in Toronto was vandalized ahead of the annual UJA event. Jewish community organizations described it as an antisemitic act of intimidation.,watch,False,,,,,,https://thej.ca/2025/05/11/uja-federation-vows-unity-after-walk-with-israel-sign-vandalized-in-antisemitic-attack/,Event-related intimidation / vandalism row.
109,2025-05-14,Toronto,ON,Cafe Landwer,business,smoke flare at cafe protest,"During a Nakba Day protest, a man allegedly ignited a smoke flare near patrons dining outside Cafe Landwer; one arrest followed.",watch,True,"Mischief - obstruct / interrupt / interfere with the lawful use, enjoyment, or operation of property","Ontario Court of Justice, 10 Armoury Street, Toronto",,,,https://thecjn.ca/news/man-arrested-after-setting-off-smoke-flare-at-toronto-cafe/,
110,2025-05-18,Toronto,ON,Beth Tikvah Synagogue,Jewish institution,antisemitic stickers / postering,Beth Tikvah Toronto was among three Jewish institutions hit by antisemitic stickers in mid-May 2025.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,
111,2025-05-18,Toronto,ON,Chabad on Bayview,religious institution,antisemitic stickers / postering,A Chabad site on Bayview was also hit by antisemitic stickers in the same spate.,watch,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,
112,2025-05-18,Toronto,ON,Kehillat Shaarei Torah,synagogue,antisemitic stickers / postering,KST was among three Jewish institutions hit by antisemitic stickers in mid-May 2025.,elevated,False,,,,,,https://thecjn.ca/news/toronto-police-seeking-a-suspect-involved-in-multiple-cases-of-synagogue-vandalism/,
113,2025-05-18,Toronto,ON,Three Bayview synagogues vandalized in one spree,synagogues,suspect vandalized signs and building exteriors of three synagogues,Toronto Police said a suspect attended three separate synagogues along Bayview Avenue and vandalized signs on the front lawn and the building of all three synagogues.,watch,False,,,Toronto Police Service,2025-1030357,,https://www.tps.ca/media-centre/news-releases/suspected-hate-motivated-mischief-investigation-17/,TPS sought public assistance identifying the suspect in May 2025.
114,2025-05-21,Winnipeg,MB,Online hate propaganda targeting Jewish community (Ballingall case),,online hate propaganda,RCMP charged Donovan MacKenzie Ballingall with wilful promotion of hatred.,low,True,,,,,,https://rcmp.ca/en/news/2025/05/winnipeg-resident-charged-hate-propaganda-offences,
115,2025-06-09,Ottawa,ON,National Holocaust Monument,monument / memorial,red paint defacement on monument,The National Holocaust Monument in Ottawa was defaced with red paint in 2025 in what police described as a hate‑motivated incident targeting a Holocaust memorial.,low,True,"Mischief to a war memorial; mischief exceeding $5,000; harassment by threatening conduct","Ottawa court proceedings; charged June 28, 2025, with later sentencing proceedings in Ottawa",Ottawa Police Service,,,,Police investigated the vandalism as a hate‑motivated incident.
116,2025-07-30,Sydney,NS,Hebrew Cemetery on Lingan Road,,swastikas painted nearby,Swastikas painted near Jewish cemetery in Whitney Pier.,low,,,,,,,https://globalnews.ca/news/11311975/cape-breton-police-investigate-swastikas-near-jewish-cemetery/,
117,2025-08-02,Victoria,BC,Congregation Emanu-El,Jewish institution,extensive antisemitic graffiti at entrance,Members arriving for Shabbat and a bar mitzvah found a lengthy hateful antisemitic message painted between the synagogue doors.,watch,False,,,,,,https://thecjn.ca/news/victoria-synagogue-vandalized-with-antisemitic-graffiti-ahead-of-tisha-bav/,
118,2025-08-08,Montreal,QC,Jewish father assaulted in park (Dickie Moore Park),individual,assault causing bodily harm,"A 32-year-old Jewish father was assaulted in a Montreal park in front of his children. Public reporting said the attacker sprayed the victim with water, pushed him to the ground, punched and kneed him, and threw the victim’s kippah into a splash pad.",elevated,True,Assault causing bodily harm,Quebec Court / Montreal courthouse; later Mental Disorders Examination Commission process,Service de police de la Ville de Montréal (SPVM),,,https://montreal.citynews.ca/2025/08/09/jewish-man-assaulted-in-front-of-children-at-montreal-park-police-investigating/ ; https://montreal.citynews.ca/2025/08/11/arrest-jewish-father-assault-park/ ; https://www.fswc.ca/news/fswc-calls-for-justice-to-be-served-in-case-of-odious-assault-on-jewish-man-in-montreal,Later reporting said Sergio Yanes Preciado was found not criminally responsible because of mental illness; prosecutors said it was unlikely motivated by hate.
119,2025-08-20,Montréal,QC,Montréal minor allegedly planning Islamic State attack,Unknown,minor arrested over alleged attack on behalf of Islamic State,RCMP Federal Policing Eastern Region arrested a young Montréal man and said he intended to carry out at least one attack on behalf of the Islamic State. RCMP said he had also allegedly posted threatening comments on social media.,watch,True,"Providing, making available, etc., property or services for terrorist purposes; participation in activity of terrorist group; facilitating terrorist activity",Youth Division of the Court of Québec,Royal Canadian Mounted Police (RCMP),,,https://rcmp.ca/en/news/2025/08/minor-arrested-and-charged-terrorism-offences,"RCMP did not identify a Jewish target, but explicitly said the alleged intended attack was on behalf of Islamic State."
120,2025-08-27,Ottawa,ON,Jewish woman stabbed at Loblaws College Square,individual,aggravated assault with weapon,Ottawa police said a Jewish woman in her 70s was stabbed in the torso in an unprovoked attack inside the Loblaws at College Square and later determined that the incident was hate-motivated. The victim was treated in hospital and released.,watch,True,Aggravated assault; possessing a dangerous weapon,Ontario proceedings / Ottawa,Ottawa Police Service,,,https://www.ottawapolice.ca/en/news/one-person-arrested-in-baseline-rd-stabbing.aspx ; https://ottawa.citynews.ca/2025/08/29/ottawa-grocery-store-woman-stabbed-hate-crime-doug-ford/,OPS said the case was considered hate-motivated after further investigation and increased patrols near areas of significance to the Jewish community.
121,2025-09-14,Halifax,NS,Beth Israel Synagogue,,antisemitic graffiti,Part of coordinated graffiti attacks on Halifax Jewish institutions.,low,,,,,,,https://www.halifax.ca/home/news/charges-laid-hate-crimes,
122,2025-09-14,Halifax,NS,Chabad Lubavitch of the Maritimes Rohr Family Institute,,antisemitic graffiti,Part of coordinated graffiti attacks on Halifax Jewish institutions.,low,,,,,,,https://www.halifax.ca/home/news/charges-laid-hate-crimes,
123,2025-09-14,Halifax,NS,Shaar Shalom Congregation,,antisemitic graffiti,Part of coordinated graffiti attacks on Halifax Jewish institutions.,low,,,,,,,https://www.halifax.ca/home/news/charges-laid-hate-crimes,
124,2025-09-27,Toronto,ON,Bathurst and Baycrest suspected hate-motivated assault,individual,assault from moving vehicle with anti-Jewish slurs,"Toronto Police said a victim identifiable as Jewish was assaulted by a passenger in a moving vehicle, while racial slurs were directed at the victim. The investigation was treated as a suspected hate-motivated offence.",elevated,True,Assault,"Ontario Court of Justice, 10 Armoury Street, Toronto",Toronto Police Service,2025-2035301,,https://www.tps.ca/media-centre/news-releases/64575/,"TPS announced arrest on Nov. 14, 2025."
125,2025-10-07,Montreal,QC,Concordia Oct. 7 protest rock-throwing incident,campus / Jewish community impact,rocks thrown at university buildings during Oct. 7 protest,"Concordia reported that during a large pro-Palestinian demonstration on Oct. 7, 2025, several rocks were thrown at the LB and EV buildings, damaging two windows of the EV building.",watch,False,,,SPVM / Concordia Campus Safety and Prevention Services,,,https://www.concordia.ca/cunews/main/incidents/2025/october-7-protest-.html,Event occurred on the Oct. 7 anniversary amid heightened campus security measures.
126,2025-11-04,Newmarket,ON,Ontario youth arrested over ISIS propaganda and firearms-solicitation case,Western civilian target,youth arrested for ISIS propaganda videos and inviting provision of firearms,"RCMP said officers arrested a youth on Nov. 4, 2025 and later announced the case on Nov. 25. The youth was charged with participating in the activities of a terrorist group by editing and publicly posting ISIS propaganda videos and with inviting a person to provide firearms for the purpose of facilitating or carrying out terrorist activity.",critical,True,"Participating in the activities of a terrorist group by editing and public posting of ISIS propaganda videos; inviting a person to provide property, namely firearms, intending that they be used to facilitate or carry out terrorist activity",Ontario youth proceedings (specific courthouse not named in RCMP release),Royal Canadian Mounted Police (RCMP),,,https://rcmp.ca/en/news/2025/11/4347832,"RCMP did not identify a Jewish target, but explicitly tied the case to ISIS propaganda and attempted firearms facilitation."
127,2025-11-04,Toronto,ON,Kehillat Shaarei Torah,synagogue,four windows smashed (10th incident),KST reported four smashed windows in what leaders described as the congregation tenth incident in roughly 1.5 years.,elevated,False,,,,,,https://toronto.citynews.ca/,Exact CityNews article URL not captured; base URL used.
128,2025-11-05,Toronto,ON,Students Supporting Israel at TMU off-campus event,Western civilian target,"forcible entry, broken glass, injury, six arrests","A private off-campus event organized by Students Supporting Israel at Toronto Metropolitan University was stormed by demonstrators near Bay and Elm streets. Police said protesters forced entry, damaged property and caused attendees to fear for their safety; one person was injured by broken glass. Five people were arrested initially and police later announced a sixth arrest.",watch,True,"Baiton and Alexis: forcible entry, member of unlawful assembly, obstruct peace officer; Mugni: forcible entry, member of unlawful assembly; Wu: obstruct peace officer, assault peace officer; Kamran: obstruct peace officer; Ibrahim: forcible entry, mischief damage property under $5,000, assault, member of unlawful assembly while masked, mischief interfere with property under $5,000","Ontario Court of Justice, 10 Armoury Street, Toronto (first five); Toronto Regional Bail Centre, 2201 Finch Avenue West, Toronto (Qabil Ibrahim)",Toronto Police Service,2025-2324667,,https://toronto.citynews.ca/2025/11/05/multiple-arrests-made-after-group-of-demonstrators-force-their-way-into-building-downtown/ ; https://www.tps.ca/media-centre/news-releases/64555/,CityNews linked the event to Students Supporting Israel at TMU and reported one injury; TPS later detailed a sixth arrest.
129,2025-11-12,Toronto,ON,Dundas/Royal York overpass anti-rabbi incitement graffiti,public space / anti-Jewish incitement,public graffiti calling to kill a rabbi,Graffiti reading 'Save a child = Kill a Rabbi' appeared on the Dundas Street overpass at Royal York Road in Toronto. Reporting and community reaction framed it as an explicit incitement to violence against Jews.,watch,False,,,,,,https://thej.ca/2025/11/17/hate-graffiti-in-toronto-demands-kill-a-rabbi-jewish-community-outraged/,"Source said the graffiti appeared on or about Nov. 12, 2025; police confirmation of an investigation was not publicly available in the source used."
130,2025-11-16,Montreal,QC,Concordia bathroom stall 'Kill the Jews' graffiti,campus / anti-Jewish incitement,explicit call to kill Jews with additional religious slogan,"B’nai Brith and National Post/JNS reported that 'Kill the Jews' was scrawled inside a Concordia bathroom stall, alongside 'Allahu Akbar.' Concordia said the vandalism was categorically unacceptable.",watch,False,,,,,,https://www.bnaibrith.ca/kill-the-jews-graffiti-found-on-concordia-bathroom-stall-national-post/,Added as a discrete campus anti-Jewish incitement incident.
131,2025-11-21,Toronto,ON,YCDSB teacher antisemitic violent-posting complaint,school system / anti-Jewish incitement,explicit antisemitic and violent statements attributed to school-board teacher account,"B’nai Brith Canada said it filed a complaint with the York Catholic District School Board after investigating a fake social-media account allegedly linked to an emergency supply teacher that posted explicit antisemitic and violent statements, including support for resisting Zionists by any means necessary and language targeting Jews collectively.",elevated,False,,,,,,https://www.bnaibrith.ca/bnai-brith-canada-exposes-ycdsb-teacher-who-spread-antisemitism/,Added as a latent incident from community-source reporting; represents anti-Jewish incitement within education context.
132,2025-11-26,Toronto,ON,Members of the Jewish community in the GTA (Waleed Khan case),Jewish community (general),ISIS-support and murder-conspiracy case linked to Jewish-community targeting,"RCMP arrested Waleed Khan on terrorism charges tied to ISIS. Parallel police reporting said Khan and two other men had also been arrested for offences targeting women and members of the Jewish community, with searches yielding firearms, ammunition, and high-capacity magazines.",critical,True,Providing property to fund or benefit ISIS; providing social media accounts to benefit ISIS; participating in the activities of a terrorist group; making himself available to facilitate or commit a terrorism offence; facilitating terrorist activity; conspiracy to commit murder for the benefit of / in association with a terrorist group; conspiracy to commit murder,Ontario court proceedings (specific courthouse not publicly stated in RCMP release); section 517 publication ban in place,Royal Canadian Mounted Police (RCMP),,,https://rcmp.ca/en/news/2025/12/4348591 ; https://apnews.com/article/toronto-terror-arrest-failed-kidnappings-3af99df7327323e5b9b434a670c77acf,"The RCMP terrorism release did not specify a Jewish target, but AP and police statements said the linked investigation involved offences targeting women and members of the Jewish community."
133,2025-12-19,Edmonton,AB,Niagara Jewish community threat traced to Edmonton,,threat messages,Amjad Jaradat arrested after threats to Jewish community.,low,True,,,,,,https://edmonton.citynews.ca/2026/01/12/edmonton-threat-ontario-jewish-community-online/,
134,2025-12-19,Toronto,ON,Project Neapolitan hate-motivated extremism case targeting Jewish community,,hate-motivated extremism investigation,Joint TPS/PRP investigation involving targeting of women and members of the Jewish community.,watch,True,,,,,,https://www.tps.ca/media-centre/news-releases/project-neapolitan-police-arrest-three-and-lay-se/,
135,2025-12-19,Toronto,ON,Toronto Western Hospital antisemitic graffiti,public institution / anti-Jewish messaging,antisemitic graffiti in hospital washroom,Antisemitic graffiti was discovered in a washroom at Toronto Western Hospital. Reporting framed the incident as part of the broader anti-Jewish threat environment in public institutions.,watch,False,,,,,,https://thej.ca/2025/12/19/antisemitic-graffiti-discovered-inside-toronto-hospital-washroom-sparks-outrage-and-fear/,Police confirmation of an investigation was not publicly available in the source used.
136,2025-12-20,Edmonton,AB,Jewish community threat by Esteban Pavez,,extremist threats,RCMP arrested Esteban Pavez for threats toward Jewish community.,low,True,,,,,,https://rcmp.ca/en/news/2026/01/4349246,
